fecha,hora,consumo,met_obtencion,datetime
2022-04-11,14,0.854,Real,2022-04-11 14:00:00
2022-04-11,15,0.143,Real,2022-04-11 15:00:00
2022-04-11,16,0.122,Real,2022-04-11 16:00:00
2022-04-11,17,0.137,Real,2022-04-11 17:00:00
2022-04-11,18,0.114,Real,2022-04-11 18:00:00
2022-04-11,19,0.102,Real,2022-04-11 19:00:00
2022-04-11,20,0.082,Real,2022-04-11 20:00:00
2022-04-11,21,0.698,Real,2022-04-11 21:00:00
2022-04-11,22,0.282,Real,2022-04-11 22:00:00
2022-04-11,23,0.109,Real,2022-04-11 23:00:00
2022-04-11,24,0.076,Real,2022-04-12 00:00:00
2022-04-12,1,0.162,Real,2022-04-12 01:00:00
2022-04-12,2,0.073,Real,2022-04-12 02:00:00
2022-04-12,3,0.062,Real,2022-04-12 03:00:00
2022-04-12,4,0.06,Real,2022-04-12 04:00:00
2022-04-12,5,0.06,Real,2022-04-12 05:00:00
2022-04-12,6,0.076,Real,2022-04-12 06:00:00
2022-04-12,7,0.096,Real,2022-04-12 07:00:00
2022-04-12,8,0.087,Real,2022-04-12 08:00:00
2022-04-12,9,0.198,Real,2022-04-12 09:00:00
2022-04-12,10,0.83,Real,2022-04-12 10:00:00
2022-04-12,11,0.457,Real,2022-04-12 11:00:00
2022-04-12,12,0.077,Real,2022-04-12 12:00:00
2022-04-12,13,0.66,Real,2022-04-12 13:00:00
2022-04-12,14,0.383,Real,2022-04-12 14:00:00
2022-04-12,15,0.096,Real,2022-04-12 15:00:00
2022-04-12,16,0.357,Real,2022-04-12 16:00:00
2022-04-12,17,0.232,Real,2022-04-12 17:00:00
2022-04-12,18,0.076,Real,2022-04-12 18:00:00
2022-04-12,19,0.171,Real,2022-04-12 19:00:00
2022-04-12,20,0.911,Real,2022-04-12 20:00:00
2022-04-12,21,0.116,Real,2022-04-12 21:00:00
2022-04-12,22,0.099,Real,2022-04-12 22:00:00
2022-04-12,23,0.083,Real,2022-04-12 23:00:00
2022-04-12,24,0.072,Real,2022-04-13 00:00:00
2022-04-13,1,0.057,Real,2022-04-13 01:00:00
2022-04-13,2,0.038,Real,2022-04-13 02:00:00
2022-04-13,3,0.038,Real,2022-04-13 03:00:00
2022-04-13,4,0.037,Real,2022-04-13 04:00:00
2022-04-13,5,0.037,Real,2022-04-13 05:00:00
2022-04-13,6,0.037,Real,2022-04-13 06:00:00
2022-04-13,7,0.147,Real,2022-04-13 07:00:00
2022-04-13,8,0.159,Real,2022-04-13 08:00:00
2022-04-13,9,0.229,Real,2022-04-13 09:00:00
2022-04-13,10,0.1,Real,2022-04-13 10:00:00
2022-04-13,11,0.091,Real,2022-04-13 11:00:00
2022-04-13,12,0.171,Real,2022-04-13 12:00:00
2022-04-13,13,0.138,Real,2022-04-13 13:00:00
