fecha,hora,consumo,met_obtencion,datetime
2022-11-19,1,0.067,Real,2022-11-19 01:00:00
2022-11-19,2,0.06,Real,2022-11-19 02:00:00
2022-11-19,3,0.06,Real,2022-11-19 03:00:00
2022-11-19,4,0.056,Real,2022-11-19 04:00:00
2022-11-19,5,0.053,Real,2022-11-19 05:00:00
2022-11-19,6,0.046,Real,2022-11-19 06:00:00
2022-11-19,7,0.046,Real,2022-11-19 07:00:00
2022-11-19,8,0.045,Real,2022-11-19 08:00:00
2022-11-19,9,0.143,Real,2022-11-19 09:00:00
2022-11-19,10,0.241,Real,2022-11-19 10:00:00
2022-11-19,11,0.215,Real,2022-11-19 11:00:00
2022-11-19,12,0.219,Real,2022-11-19 12:00:00
2022-11-19,13,0.118,Real,2022-11-19 13:00:00
2022-11-19,14,0.401,Real,2022-11-19 14:00:00
2022-11-19,15,0.503,Real,2022-11-19 15:00:00
2022-11-19,16,0.358,Real,2022-11-19 16:00:00
2022-11-19,17,0.16,Real,2022-11-19 17:00:00
2022-11-19,18,0.272,Real,2022-11-19 18:00:00
2022-11-19,19,0.205,Real,2022-11-19 19:00:00
2022-11-19,20,0.63,Real,2022-11-19 20:00:00
2022-11-19,21,1.092,Real,2022-11-19 21:00:00
2022-11-19,22,0.821,Real,2022-11-19 22:00:00
2022-11-19,23,0.272,Real,2022-11-19 23:00:00
2022-11-19,24,0.176,Real,2022-11-20 00:00:00
2022-11-20,1,0.063,Real,2022-11-20 01:00:00
2022-11-20,2,0.053,Real,2022-11-20 02:00:00
2022-11-20,3,0.062,Real,2022-11-20 03:00:00
2022-11-20,4,0.098,Real,2022-11-20 04:00:00
2022-11-20,5,0.047,Real,2022-11-20 05:00:00
2022-11-20,6,0.053,Real,2022-11-20 06:00:00
2022-11-20,7,0.051,Real,2022-11-20 07:00:00
2022-11-20,8,0.051,Real,2022-11-20 08:00:00
2022-11-20,9,0.035,Real,2022-11-20 09:00:00
2022-11-20,10,0.069,Real,2022-11-20 10:00:00
2022-11-20,11,0.148,Real,2022-11-20 11:00:00
2022-11-20,12,0.618,Real,2022-11-20 12:00:00
2022-11-20,13,0.574,Real,2022-11-20 13:00:00
2022-11-20,14,0.309,Real,2022-11-20 14:00:00
2022-11-20,15,0.23,Real,2022-11-20 15:00:00
2022-11-20,16,0.876,Real,2022-11-20 16:00:00
2022-11-20,17,0.401,Real,2022-11-20 17:00:00
2022-11-20,18,0.333,Real,2022-11-20 18:00:00
2022-11-20,19,0.187,Real,2022-11-20 19:00:00
2022-11-20,20,0.197,Real,2022-11-20 20:00:00
2022-11-20,21,0.212,Real,2022-11-20 21:00:00
2022-11-20,22,0.357,Real,2022-11-20 22:00:00
2022-11-20,23,0.182,Real,2022-11-20 23:00:00
2022-11-20,24,0.088,Real,2022-11-21 00:00:00
2022-11-21,1,0.134,Real,2022-11-21 01:00:00
2022-11-21,2,0.075,Real,2022-11-21 02:00:00
2022-11-21,3,0.054,Real,2022-11-21 03:00:00
2022-11-21,4,0.048,Real,2022-11-21 04:00:00
2022-11-21,5,0.045,Real,2022-11-21 05:00:00
2022-11-21,6,0.045,Real,2022-11-21 06:00:00
2022-11-21,7,0.044,Real,2022-11-21 07:00:00
2022-11-21,8,0.049,Real,2022-11-21 08:00:00
2022-11-21,9,0.199,Estimado,2022-11-21 09:00:00
2022-11-21,10,0.245,Estimado,2022-11-21 10:00:00
2022-11-21,11,0.343,Estimado,2022-11-21 11:00:00
2022-11-21,12,0.254,Estimado,2022-11-21 12:00:00
2022-11-21,13,0.262,Estimado,2022-11-21 13:00:00
2022-11-21,14,0.894,Estimado,2022-11-21 14:00:00
2022-11-21,15,0.626,Estimado,2022-11-21 15:00:00
2022-11-21,16,0.692,Estimado,2022-11-21 16:00:00
2022-11-21,17,0.411,Estimado,2022-11-21 17:00:00
2022-11-21,18,0.263,Estimado,2022-11-21 18:00:00
2022-11-21,19,0.23,Estimado,2022-11-21 19:00:00
2022-11-21,20,0.319,Estimado,2022-11-21 20:00:00
2022-11-21,21,0.773,Estimado,2022-11-21 21:00:00
2022-11-21,22,0.621,Estimado,2022-11-21 22:00:00
2022-11-21,23,0.209,Estimado,2022-11-21 23:00:00
2022-11-21,24,0.079,Estimado,2022-11-22 00:00:00
2022-11-22,1,0.064,Real,2022-11-22 01:00:00
2022-11-22,2,0.067,Real,2022-11-22 02:00:00
2022-11-22,3,0.069,Real,2022-11-22 03:00:00
